freeze_id,task_id,repo,calibration_source,manual_audit_status,original_probe_layer,original_cc_ogb_lower_bound,specification_debt_signal,heldout_status,heldout_f2p_pass,false_acceptance_label,fail_to_pass_count,pass_to_pass_count,upgrade_bdc_available,specification_debt_reasons
1,astropy__astropy-14365,astropy/astropy,codex_session_bootstrap,retain,source_isolated_template,0.25,True,executed,False,True,1,8,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
2,django__django-16255,django/django,codex_session_bootstrap,retain,source_isolated_template,0.25,True,executed,True,False,1,36,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
3,django__django-16873,django/django,codex_session_bootstrap,retain,source_isolated_template,0.25,True,executed,True,False,2,12,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
4,marshmallow-code__marshmallow-1343,marshmallow-code/marshmallow,llm_batch_direct,retain,custom_active_probe,0.75,False,executed,True,False,1,24,False,
5,marshmallow-code__marshmallow-1359,marshmallow-code/marshmallow,llm_batch_direct,retain,custom_active_probe,0.25,False,executed,True,False,1,76,False,
6,matplotlib__matplotlib-23562,matplotlib/matplotlib,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,False,True,2,136,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
7,matplotlib__matplotlib-24149,matplotlib/matplotlib,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,1,767,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
8,mwaskom__seaborn-2848,mwaskom/seaborn,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,1,50,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
9,mwaskom__seaborn-3010,mwaskom/seaborn,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,True,False,1,2,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
10,mwaskom__seaborn-3190,mwaskom/seaborn,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,1,84,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
11,mwaskom__seaborn-3407,mwaskom/seaborn,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,1,120,True,not_main_table_ready_after_audit
12,pallets__flask-4992,pallets/flask,codex_session_bootstrap,retain,source_isolated_template,0.5,True,executed,True,False,1,18,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
13,pallets__flask-5063,pallets/flask,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,2,54,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
14,psf__requests-2148,psf/requests,codex_session_bootstrap,retain,source_isolated_template,0.25,True,executed,False,True,10,118,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
15,pvlib__pvlib-python-1072,pvlib/pvlib-python,llm_batch_direct,retain,custom_active_probe,0.25,False,executed,True,False,1,18,False,
16,pydata__xarray-4094,pydata/xarray,codex_session_bootstrap,retain,source_isolated_template,0.5,True,executed,False,True,1,862,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
17,pydata__xarray-5131,pydata/xarray,codex_session_bootstrap,downgrade,source_isolated_template,0.25,True,executed,True,False,10,24,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
18,pylint-dev__pylint-5859,pylint-dev/pylint,llm_batch_direct,downgrade,source_isolated_template,0.5,True,executed,True,False,1,10,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
19,pylint-dev__pylint-6506,pylint-dev/pylint,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,2,6,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
20,pylint-dev__pylint-7114,pylint-dev/pylint,llm_batch_direct,retain,source_isolated_template,0.75,True,executed,False,True,1,56,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
21,pylint-dev__pylint-7228,pylint-dev/pylint,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,False,True,2,10,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
22,pylint-dev__pylint-7993,pylint-dev/pylint,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,True,False,1,10,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
23,pytest-dev__pytest-11148,pytest-dev/pytest,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,2,129,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
24,pytest-dev__pytest-8906,pytest-dev/pytest,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,1,84,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
25,scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,False,True,2,18,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
26,sphinx-doc__sphinx-7686,sphinx-doc/sphinx,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,False,True,2,15,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
27,sphinx-doc__sphinx-8713,sphinx-doc/sphinx,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,True,False,1,45,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
28,sympy__sympy-16106,sympy/sympy,llm_batch_direct,downgrade,source_isolated_template,0.25,True,executed,False,True,1,55,False,manual_audit_downgrade;source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
29,sympy__sympy-17655,sympy/sympy,llm_batch_direct,retain,source_isolated_template,0.25,True,executed,True,False,2,9,False,source_isolated_not_yet_upgraded;not_main_table_ready_after_audit
30,sympy__sympy-23117,sympy/sympy,llm_batch_direct,retain,issue_codeblock_full_package,0.25,False,executed,True,False,1,3,True,
